"latitude","longitude"
NA,NA
NA,NA
38.9766,-78.6205
38.90323,-78.48832
36.84531,-81.39125
37.33226,-76.70926
38.44714,-79.65548
NA,NA
36.589,-79.1345
38.36911,-78.53718
36.62492,-81.48593
37.3557,-80.5378
36.94165,-80.04166
36.9846,-80.3755
37.17433,-82.39963
37.44378,-77.6257
36.5884,-76.28729
36.74465,-80.98215
38.0735,-77.2265
36.91355,-77.95074
37.047,-77.90815
36.745,-80.48
36.6765,-76.364
38.741,-77.23238
38.70819,-77.17868
38.80319,-77.34879
37.06266,-79.82829
37.01115,-79.908
37.12815,-79.8871
37.29854,-80.82856
37.41095,-80.6275
35.8525,-80.6585
37.54,-79.57
